month_date,latitude,longitude,magnitude,depth,sig,mmi,cdi
2018-09-01,-18.4743,179.35,7.9,670.81,979,4,7
2018-09-01,42.6861,141.929,6.6,35.0,1075,9,8
2018-08-01,-22.0295,170.126,7.1,21.43,776,5,2
2018-08-01,-11.0355,-70.8284,7.1,630.0,776,3,0
2018-08-01,-16.0315,168.143,6.5,9.0,652,7,6
2018-08-01,10.7731,-62.9019,7.3,146.82,1570,6,8
2018-08-01,-8.319,116.627,6.9,21.0,1206,7,7
2018-08-01,-18.1125,-178.153,8.2,600.0,1050,4,5
2018-08-01,-7.3718,119.802,6.5,529.0,743,3,5
2018-08-01,51.4234,-178.026,6.5,33.93,655,6,6
2018-08-01,-8.2581,116.438,6.9,34.0,1704,8,9
2018-05-01,19.3182,-155.0,6.9,5.81,1392,8,7
2018-04-01,-20.6588,-63.0058,6.8,559.0,733,3,5
2018-03-01,-5.5321,151.5,6.9,35.0,741,6,9
2018-03-01,-5.5024,151.402,6.7,40.0,696,6,5
2018-03-01,-4.3762,153.2,6.8,22.86,719,6,6
2018-03-01,-6.3043,142.612,6.7,20.49,697,7,8
2018-02-01,-6.0699,142.754,7.5,25.21,943,8,9
2018-02-01,16.3855,-97.9787,7.2,22.0,1384,7,7
2018-01-01,56.0039,-149.166,7.9,14.06,1870,4,9
2018-01-01,-15.7675,-74.7092,7.1,39.0,1075,7,9
2018-01-01,17.4825,-83.52,7.5,19.0,1623,5,8
2017-12-01,-7.4921,108.174,6.5,90.0,998,7,8
2017-12-01,-54.2189,2.1628,6.5,17.0,651,5,1
2017-11-01,-21.3246,168.671,7.0,10.0,771,6,4
2017-11-01,-21.5027,168.598,6.6,13.0,676,5,4
2017-11-01,9.5147,-84.4865,6.5,19.36,1153,8,8
2017-11-01,34.9109,45.9592,7.3,19.0,2790,9,8
2017-11-01,-4.2433,143.485,6.5,110.57,661,5,6
2017-11-01,-15.3197,-173.168,6.8,10.0,727,5,5
2017-11-01,-21.6484,168.859,6.6,22.0,674,5,3
2017-10-01,-21.6971,169.148,6.7,24.0,691,4,3
2017-10-01,-7.2168,123.074,6.7,553.81,694,3,3
2017-10-01,52.3909,176.769,6.5,119.0,651,5,3
2017-09-01,18.5499,-98.4887,7.1,48.0,1686,8,9
2017-09-01,15.0222,-93.8993,8.2,47.39,2910,7,9
2017-08-01,33.1926,103.855,6.5,9.0,707,7,5
2017-07-01,36.9293,27.4139,6.6,7.0,1064,7,7
2017-07-01,54.4434,168.857,7.7,10.0,918,7,8
2017-07-01,-49.4837,164.016,6.6,10.0,704,4,5
2017-07-01,11.1269,124.629,6.5,9.0,740,8,9
2017-06-01,13.7174,-90.9718,6.8,38.12,1034,6,6
2017-06-01,14.9091,-92.0092,6.9,93.0,1188,6,8
2017-06-01,54.0312,170.92,6.8,5.0,711,4,0
2017-05-01,-1.2923,120.431,6.6,12.0,678,7,7
2017-05-01,-56.414,-25.7432,6.5,15.0,650,4,0
2017-05-01,-14.5884,167.377,6.8,169.0,713,5,6
2017-04-01,5.5043,125.066,6.9,26.0,814,6,9
2017-04-01,-33.0375,-72.0617,6.9,28.0,1642,7,9
2017-04-01,-22.6784,25.1558,6.5,29.0,1297,8,7
2017-03-01,56.9401,162.786,6.6,17.0,671,7,6
2017-02-01,-23.2593,-178.804,6.9,414.5,733,3,2
2017-02-01,-19.2814,-63.9047,6.5,595.98,653,3,3
2017-02-01,9.9071,125.452,6.5,15.0,718,7,8
2017-01-01,-6.2464,155.172,7.9,135.0,987,7,9
2017-01-01,-10.3506,161.335,6.5,36.0,654,6,6
2017-01-01,4.4782,122.617,7.3,627.17,849,3,6
2017-01-01,-19.3733,176.052,6.9,12.0,742,4,6
2016-12-01,-43.4064,-73.9413,7.6,38.0,1152,8,9
2016-12-01,-7.5082,127.921,6.7,152.0,726,5,5
2016-12-01,-4.5049,153.522,7.9,94.54,972,7,9
2016-12-01,-10.749,161.132,6.9,19.73,737,6,8
2016-12-01,-10.8416,161.314,6.5,12.26,650,5,0
2016-12-01,-10.6812,161.327,7.8,40.0,961,8,9
2016-12-01,40.4535,-126.194,6.6,8.45,1120,4,5
2016-12-01,5.2834,96.1678,6.5,13.0,731,8,9
2016-11-01,39.2732,73.9776,6.6,17.0,693,7,8
2016-11-01,11.9097,-88.8968,6.9,10.0,855,4,5
2016-11-01,37.3931,141.387,6.9,9.0,1144,6,9
2016-11-01,-42.6058,173.254,6.5,9.0,664,7,7
2016-11-01,-42.3205,173.669,6.5,10.0,656,7,6
2016-11-01,-42.7373,173.054,7.8,15.11,1545,9,9
2016-10-01,42.8621,13.0961,6.6,8.0,2840,8,9
2016-10-01,-4.8626,108.163,6.6,614.0,677,3,3
2016-10-01,-6.0033,148.887,6.8,42.0,716,6,3
2016-09-01,-19.7819,-178.244,6.9,596.4,733,3,2
2016-09-01,-37.3586,179.146,7.0,19.0,897,6,5
2016-08-01,-3.6849,152.792,6.8,476.0,713,3,4
2016-08-01,20.9228,94.569,6.8,82.0,981,6,6
2016-08-01,-22.4765,173.117,7.2,16.37,799,5,6
2016-07-01,18.5429,145.507,7.7,196.0,971,6,5
2016-06-01,-2.0967,100.665,6.6,50.0,671,6,4
2016-05-01,-56.2409,-26.9353,7.2,78.0,798,6,1
2016-05-01,-21.9724,-178.204,6.9,405.69,733,3,3
2016-05-01,0.4947,-79.616,6.9,29.95,780,7,8
2016-05-01,0.4261,-79.7899,6.7,16.0,744,7,5
2016-04-01,-16.0429,167.379,7.0,24.0,755,7,7
2016-04-01,0.3819,-79.9218,7.8,20.59,1163,9,9
2016-04-01,32.7906,130.754,7.0,10.0,2074,9,9
