cell_id,month_date,count_last_1m,count_last_3m,count_last_6m,max_mag_last_3m,max_mag_last_6m,avg_mag_last_6m,avg_depth_last_6m,max_depth_last_6m,max_sig_last_3m,avg_mmi_last_3m,avg_cdi_last_3m,months_since_last_quake,trend_3m_minus_6m_avg,max_mag_last_12m
-14.0_167.0,2014-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0
-14.5_-76.0,2011-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-14.5_166.5,2016-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-14.5_166.5,2016-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-14.5_167.0,2005-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-14.5_167.0,2012-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,0.0,0.0
-15.0_-176.0,2014-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-15.0_-70.5,2019-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-15.0_-70.5,2022-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.0
-15.0_-74.0,2014-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-15.0_167.0,2001-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-15.0_167.0,2015-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,0.0,0.0
-15.0_167.0,2017-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0
-15.0_167.0,2021-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0
-15.5_-172.5,2009-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-15.5_-173.5,2015-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-15.5_-173.5,2017-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.0
-15.5_167.0,2014-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-16.0_-179.0,2015-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-16.0_-75.0,2013-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-16.0_-75.0,2018-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,0.0,0.0
-16.0_167.5,2006-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-16.0_167.5,2007-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,6.8
-16.5_-177.5,2021-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-16.5_-74.0,2001-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-16.5_-74.0,2001-07-01,1,1,1,8.4,8.4,8.4,33.0,33.0,1086.0,8.0,0.0,1,0.5,8.4
-16.5_167.0,2016-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-16.5_167.5,2019-07-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-16.5_168.0,2018-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-17.0_-172.5,2006-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-17.0_176.5,2006-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-17.5_-177.0,2013-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-17.5_168.5,2015-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-17.5_178.0,2009-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
